CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.009-1.8-NoBreak	SteerValue-0.12-0.009-1.8-NoBreak
-0.1752	-0.0168515	0.0068	-0.0920652
-0.1688	-0.0165955	0.0589	-0.174447
-0.1624	-0.0165515	0.1143	-0.188064
-0.1542	-0.0200045	0.1716	-0.199904
-0.1475	-0.017371	0.1758	-0.106411
-0.1411	-0.0168935	0.1541	-0.0585735
-0.1331	-0.020068	0.1592	-0.108858
-0.1267	-0.0173225	0.1845	-0.149915
-0.1189	-0.020184	0.1957	-0.12764
-0.1114	-0.019987	0.1695	-0.0587016
-0.1043	-0.0195975	0.0978	0.0309222
-0.0991	-0.016306	-0.0072	0.103527
-0.0931	-0.0180005	-0.1176	0.127553
-0.1483	0.099525	-0.1924	0.074181
-0.4002	0.485814	-0.2485	0.0494895
0.6421	-1	-0.2697	-0.0083592
0.0655	1	-0.2699	-0.0437061
0.2296	-0.343248	-0.1198	-0.33118
0.4563	-0.485413	0.0652	-0.416787
0.6846	-0.519112	0.1637	-0.27438
0.8462	-0.422675	0.1814	-0.132697
0.9144	-0.267311	0.1273	0.0018897
0.8342	0.0052615	0.0241	0.102437
0.6641	0.184173	-0.1253	0.204652
0.5016	0.187485	-0.2618	0.200169
0.3574	0.170062	-0.3371	0.102079
0.2257	0.162238	-0.3675	0.0282141
0.144	0.0813215	-0.3565	-0.0444174
0.1148	-0.0102485	-0.2268	-0.2716
0.1184	-0.0703125	0.0391	-0.54902
0.1402	-0.106389	0.2529	-0.483172
0.1544	-0.0951855	0.3246	-0.238918
0.1599	-0.080985	0.2677	-0.0030189
0.1453	-0.0437795	0.2511	-0.0758268
0.12	-0.0220835	0.4298	-0.452679
0.1347	-0.096521	0.5218	-0.312355
0.2169	-0.228969	0.5325	-0.172092
0.2888	-0.220501	0.4591	-0.0160356
0.298	-0.110235	0.2866	0.180465
0.2465	0.003972	0.1408	0.148634
0.1506	0.094647	0.0146	0.128366
0.0395	0.135142	0.2717	-0.594871
-0.041	0.0899265	0.5711	-0.712079
-0.0992	0.0572665	0.782	-0.585125
-0.1368	0.0253825	0.8825	-0.406407
-0.1448	-0.0262135	1.0895	-0.632753
-0.0712	-0.181569	1.4875	-1
0.1109	-0.399276	1.6853	-0.716244
0.2628	-0.364458	1.6028	-0.216229
0.3171	-0.196879	1.241	0.318758
0.2667	-0.003705	0.7328	0.636667
0.1899	0.0520815	0.2186	0.707203
0.0726	0.138695	0.1129	-0.0164289
-0.0464	0.156267	0.2116	-0.398097
-0.151	0.143654	0.3423	-0.474462
-0.228	0.104354	0.4763	-0.500769
-0.2735	0.054481	0.4726	-0.256718
-0.2901	0.0059035	0.5078	-0.335532
-0.2836	-0.0350385	0.5961	-0.447073
-0.1244	-0.32838	0.5995	-0.300057
0.0724	-0.420038	0.4636	-0.0371811
0.2622	-0.431525	0.2604	0.105999
0.3389	-0.238844	-0.0269	0.292097
0.3183	-0.0628235	-0.2595	0.223885
0.2935	-0.053755	-0.4487	0.172507
0.4542	-0.40921	-0.3532	-0.348234
0.5833	-0.370739	-0.1698	-0.526934
0.6169	-0.205955	0.0321	-0.584751
0.5568	-0.032867	0.1177	-0.386742
0.3483	0.257532	0.0692	-0.140165
0.2239	0.11996	-0.0373	-0.0226491
0.0978	0.137663	-0.222	0.142273
0.2982	-0.475576	-0.4351	0.222881
0.6032	-0.703472	-0.6233	0.206254
